step,action,reward,done,state_mean,next_state_mean
0,1,0.0,0,0.4052799642086029,0.4056125283241272
0,1,0.0,0,0.4052799642086029,0.4056125283241272
1,1,0.0,0,0.4056125283241272,0.4059451222419739
2,0,0.0,0,0.4059451222419739,0.4062776863574981
3,5,0.0,0,0.4062776863574981,0.4066096842288971
4,4,0.0,0,0.4066096842288971,0.4066090881824493
5,2,0.0,0,0.4066090881824493,0.4066096842288971
6,5,0.0,0,0.4066096842288971,0.4066090881824493
7,3,0.0,0,0.4066090881824493,0.4066090881824493
8,0,0.0,0,0.4066090881824493,0.4066097140312195
9,4,0.0,0,0.4066097140312195,0.4066097140312195
10,1,0.0,0,0.4066097140312195,0.4066096842288971
11,3,0.0,0,0.4066096842288971,0.4066109359264374
12,3,0.0,0,0.4066109359264374,0.4066103100776672
13,5,0.0,0,0.4066103100776672,0.4066103398799896
14,2,0.0,0,0.4066103398799896,0.4067855775356293
15,5,0.0,0,0.4067855775356293,0.4069583415985107
16,2,0.0,0,0.4069583415985107,0.4071323871612549
17,2,0.0,0,0.4071323871612549,0.4073067009449005
18,3,0.0,0,0.4073067009449005,0.4073048830032348
19,1,0.0,0,0.4073048830032348,0.4073054790496826
20,0,0.0,0,0.4073054790496826,0.4073054790496826
21,4,0.0,0,0.4073054790496826,0.4073048830032348
22,4,0.0,0,0.4073048830032348,0.4073054790496826
23,0,0.0,0,0.4073054790496826,0.4073061048984527
24,5,0.0,0,0.4073061048984527,0.4073061048984527
25,1,0.0,0,0.4073061048984527,0.407304584980011
26,4,0.0,0,0.407304584980011,0.4073061048984527
27,2,0.0,0,0.4073061048984527,0.4073036611080169
28,5,0.0,0,0.4073036611080169,0.4073039591312408
29,0,0.0,0,0.4073039591312408,0.4073061048984527
30,1,0.0,0,0.4073061048984527,0.4073054790496826
31,1,0.0,0,0.4073054790496826,0.4073067009449005
32,1,0.0,0,0.4073067009449005,0.4073061048984527
33,5,0.0,0,0.4073061048984527,0.407304584980011
34,1,0.0,0,0.407304584980011,0.4073030352592468
