step,action,reward,done,state_mean,next_state_mean
0,1,0.0,0,0.4052799642086029,0.4056125283241272
999900,0,0.0,0,0.4073047339916229,0.4073053300380707
999901,3,0.0,0,0.4073053300380707,0.4073044061660766
999902,3,0.0,0,0.4073044061660766,0.4073039591312408
999903,5,0.0,0,0.4073039591312408,0.4073039591312408
999904,5,0.0,0,0.4073039591312408,0.4073027372360229
999905,0,0.0,0,0.4073027372360229,0.4072546064853668
999906,0,0.0,0,0.4072546064853668,0.4071731269359588
999907,2,0.0,0,0.4071731269359588,0.4071231782436371
999908,2,0.0,0,0.4071231782436371,0.4071241021156311
999909,0,0.0,0,0.4071241021156311,0.4071731269359588
999910,5,0.0,0,0.4071731269359588,0.407256156206131
999911,0,0.0,0,0.407256156206131,0.4073051810264587
999912,0,0.0,0,0.4073051810264587,0.4072965979576111
999913,2,0.0,0,0.4072965979576111,0.4072555601596832
999914,2,0.0,0,0.4072555601596832,0.4071810841560364
999915,0,0.0,0,0.4071810841560364,0.4070539474487304
999916,0,0.0,0,0.4070539474487304,0.4070039987564087
999917,3,0.0,0,0.4070039987564087,0.4070205390453338
999918,3,0.0,0,0.4070205390453338,0.4070940911769867
999919,4,0.0,0,0.4070940911769867,0.4072224497795105
999920,4,0.0,0,0.4072224497795105,0.4072822332382202
999921,2,0.0,0,0.4072822332382202,0.4073054790496826
999922,3,0.0,0,0.4073054790496826,0.4073070287704468
999923,0,0.0,0,0.4073070287704468,0.4073051810264587
999924,0,0.0,0,0.4073051810264587,0.4073039591312408
999925,0,0.0,0,0.4073039591312408,0.407304584980011
999926,0,0.0,0,0.407304584980011,0.4073146879673004
999927,4,0.0,0,0.4073146879673004,0.4073159098625183
999928,1,0.0,0,0.4073159098625183,0.4073162078857422
999929,3,0.0,0,0.4073162078857422,0.4072999656200409
999930,3,0.0,0,0.4072999656200409,0.4072881639003753
999931,5,0.0,0,0.4072881639003753,0.4072875678539276
999932,4,0.0,0,0.4072875678539276,0.4072863459587097
999933,5,0.0,0,0.4072863459587097,0.4073038101196289
999934,4,0.0,0,0.4073038101196289,0.4073058068752289
999935,4,0.0,0,0.4073058068752289,0.4073064029216766
999936,4,0.0,0,0.4073064029216766,0.4072555303573608
999937,2,0.0,0,0.4072555303573608,0.4071967005729675
999938,0,0.0,0,0.4071967005729675,0.4071954786777496
999939,3,0.0,0,0.4071954786777496,0.4071960747241974
999940,3,0.0,0,0.4071960747241974,0.4072490930557251
999941,4,0.0,0,0.4072490930557251,0.4073064029216766
999942,4,0.0,0,0.4073064029216766,0.4073054790496826
999943,0,0.0,0,0.4073054790496826,0.4073048830032348
999944,1,0.0,0,0.4073048830032348,0.4073039591312408
999945,1,0.0,0,0.4073039591312408,0.4073048830032348
999946,2,0.0,0,0.4073048830032348,0.4073051810264587
999947,2,0.0,0,0.4073051810264587,0.4073058068752289
999948,4,0.0,0,0.4073058068752289,0.4073048830032348
999949,1,0.0,0,0.4073048830032348,0.4072384238243103
999950,5,0.0,0,0.4072384238243103,0.4071884453296661
999951,2,0.0,0,0.4071884453296661,0.4071709811687469
999952,2,0.0,0,0.4071709811687469,0.4071051478385925
999953,2,0.0,0,0.4071051478385925,0.4070888757705688
999954,3,0.0,0,0.4070888757705688,0.4070560932159424
999955,4,0.0,0,0.4070560932159424,0.4070055782794952
999956,0,0.0,0,0.4070055782794952,0.4069877862930298
999957,0,0.0,0,0.4069877862930298,0.4069868922233581
999958,0,0.0,0,0.4069868922233581,0.406986266374588
999959,1,0.0,0,0.406986266374588,0.4069698750972748
999960,3,0.0,0,0.4069698750972748,0.406986266374588
999961,5,0.0,0,0.406986266374588,0.4070701897144317
999962,0,0.0,0,0.4070701897144317,0.4071535170078277
999963,0,0.0,0,0.4071535170078277,0.4072373211383819
999964,0,0.0,0,0.4072373211383819,0.4072950482368469
999965,0,0.0,0,0.4072950482368469,0.4072576761245727
999966,0,0.0,0,0.4072576761245727,0.4072583317756653
999967,0,0.0,0,0.4072583317756653,0.407257080078125
999968,0,0.0,0,0.407257080078125,0.4072665870189667
999969,1,0.0,0,0.4072665870189667,0.4073024392127991
