step,action,reward,done,state_mean,next_state_mean
0,0,0.0,0,0.4052799642086029,0.4056125283241272
1,1,0.0,0,0.4056125283241272,0.4059451222419739
2,0,0.0,0,0.4059451222419739,0.40627768635749817
3,2,0.0,0,0.40627768635749817,0.4066097140312195
4,5,0.0,0,0.4066097140312195,0.40660908818244934
5,2,0.0,0,0.40660908818244934,0.4066097140312195
6,0,0.0,0,0.4066097140312195,0.4066103398799896
7,3,0.0,0,0.4066103398799896,0.4066109359264374
8,5,0.0,0,0.4066109359264374,0.40661153197288513
9,3,0.0,0,0.40661153197288513,0.4066115617752075
10,4,0.0,0,0.4066115617752075,0.4066115617752075
11,3,0.0,0,0.4066115617752075,0.4066115617752075
12,3,0.0,0,0.4066115617752075,0.4066109359264374
13,1,0.0,0,0.4066109359264374,0.4066109359264374
14,1,0.0,0,0.4066109359264374,0.4067689776420593
15,2,0.0,0,0.4067689776420593,0.4069436192512512
16,5,0.0,0,0.4069436192512512,0.40711766481399536
17,0,0.0,0,0.40711766481399536,0.40729260444641113
18,3,0.0,0,0.40729260444641113,0.4072742164134979
19,5,0.0,0,0.4072742164134979,0.40719088912010193
20,3,0.0,0,0.40719088912010193,0.4070916473865509
21,3,0.0,0,0.4070916473865509,0.40699177980422974
22,3,0.0,0,0.40699177980422974,0.4069255590438843
23,5,0.0,0,0.4069255590438843,0.406910240650177
24,1,0.0,0,0.406910240650177,0.4069114625453949
25,1,0.0,0,0.4069114625453949,0.40691059827804565
26,0,0.0,0,0.40691059827804565,0.4069127142429352
27,4,0.0,0,0.4069127142429352,0.4069598913192749
28,0,0.0,0,0.4069598913192749,0.40705883502960205
29,3,0.0,0,0.40705883502960205,0.4071590304374695
30,5,0.0,0,0.4071590304374695,0.4071749448776245
31,1,0.0,0,0.4071749448776245,0.4071272015571594
32,2,0.0,0,0.4071272015571594,0.40711063146591187
33,5,0.0,0,0.40711063146591187,0.40709376335144043
34,1,0.0,0,0.40709376335144043,0.40709224343299866
35,0,0.0,0,0.40709224343299866,0.40709224343299866
36,3,0.0,0,0.40709224343299866,0.4070085883140564
37,3,0.0,0,0.4070085883140564,0.40692466497421265
38,4,0.0,0,0.40692466497421265,0.4069920778274536
39,1,0.0,0,0.4069920778274536,0.40709102153778076
40,1,0.0,0,0.40709102153778076,0.40718966722488403
41,1,0.0,0,0.40718966722488403,0.40728864073753357
42,4,0.0,0,0.40728864073753357,0.4073058068752289
43,0,0.0,0,0.4073058068752289,0.40730488300323486
44,0,0.0,0,0.40730488300323486,0.4073054790496826
45,0,0.0,0,0.4073054790496826,0.40730518102645874
46,5,0.0,0,0.40730518102645874,0.40730395913124084
47,0,0.0,0,0.40730395913124084,0.407304584980011
48,0,0.0,0,0.407304584980011,0.40730395913124084
49,5,0.0,0,0.40730395913124084,0.4073033630847931
50,5,0.0,0,0.4073033630847931,0.40723717212677
51,1,0.0,0,0.40723717212677,0.40715381503105164
52,5,0.0,0,0.40715381503105164,0.40705639123916626
53,0,0.0,0,0.40705639123916626,0.40695926547050476
54,1,0.0,0,0.40695926547050476,0.40692681074142456
